Task ID,Created At,Completed At,Last Modified,Name,Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task
875002855888690,2018-10-19,2018-10-19,2018-10-19,email dan about missing linkings for protobuf on g++ 5.4,Research,,,,,,,UMass,
873329196140386,2018-10-18,2018-10-24,2018-10-24,project,CS 383,,,,2018-10-24,,,UMass,
873329196140384,2018-10-18,2018-10-19,2018-10-19,tarea,Spanish 322,,,,2018-10-22,,,UMass,
863866106729699,2018-10-12,2018-10-12,2018-10-12,email drp@cs.umass.edu about getting the hdf5-devel package installed,Research,,,,,,,UMass,
860632335094478,2018-10-10,2018-10-11,2018-10-11,lecture 10 notes,CS 383,,,,2018-10-10,,,UMass,
856426555557315,2018-10-08,2018-10-09,2018-10-09,quiz 5,CS 311,,,,2018-10-09,,,UMass,
854202320525297,2018-10-06,2018-10-08,2018-10-08,dynamic programming notes first lecture,CS 311,,,,,,,UMass,
854202320525295,2018-10-06,2018-10-07,2018-10-07,ch 7 notes,Math 551,,,,2018-10-07,,,UMass,
854202320525293,2018-10-06,2018-10-18,2018-10-18,hw 3,Math 551,,,,2018-10-19,,,UMass,
854176314280243,2018-10-06,2018-10-31,2018-10-31,run textbox++ using pretrained weights,Research,,,,,,,UMass,
853648132387235,2018-10-05,2018-10-19,2018-10-19,hw 3,CS 311,,,,2018-10-18,,,UMass,
760434937316592,2018-10-05,2018-10-09,2018-10-09,Bartolomé,Spanish 322,,,,,,,UMass,
843528822575904,2018-09-28,2018-10-05,2018-10-05,pick paper with code,Research,,,,,,,UMass,
843411510649084,2018-09-28,2018-10-01,2018-10-01,quiz 4,CS 311,,,,2018-10-01,,,UMass,
840898527523415,2018-09-27,2018-10-09,2018-10-09,hw 2,CS 383,,,,2018-10-09,,,UMass,
840234100065724,2018-09-26,2018-09-30,2018-09-30,tarea 2,Spanish 322,,,,2018-10-01,,,UMass,
839964376695530,2018-09-26,2018-09-30,2018-09-30,finish lecture 6 notes,CS 383,,,,,,,UMass,
838038329722009,2018-09-25,2018-09-25,2018-09-25,finish lecture 6 notes,CS 383,,,,,,,UMass,
838038329722005,2018-09-25,2018-09-28,2018-09-28,train yolo on augmented data,Research,,,,,,,UMass,
838038329722003,2018-09-25,2018-09-26,2018-09-26,create sliding window data with 608x608,Research,,,,,,,UMass,
838038329721999,2018-09-25,2018-10-10,2018-10-10,hw 2,Math 551,,,,2018-10-05,,,UMass,
838038329721997,2018-09-25,2018-09-28,2018-09-28,retrain yolo using correct image split to create baseline,Research,,,,,,,UMass,
837720676780457,2018-09-25,2018-09-25,2018-09-25,find implementation for inpainting,Research,,,,,,,UMass,
833495635353123,2018-09-21,2018-09-24,2018-09-24,quiz 3,CS 311,,,,2018-09-24,,,UMass,
831963424154633,2018-09-20,2018-10-01,2018-10-01,hw2,CS 311,,,,2018-10-02,,,UMass,
829611430609310,2018-09-19,2018-09-25,2018-09-25,lecture 4 notes,CS 383,,,,,,,UMass,
829611430609308,2018-09-19,2018-09-25,2018-09-25,lecture 3 notes,CS 383,,,,,,,UMass,
829611430609306,2018-09-19,2018-09-24,2018-09-24,lecture 2 notes,CS 383,,,,,,,UMass,
829611430609304,2018-09-19,2018-09-24,2018-09-24,lecture 1 notes,CS 383,,,,,,,UMass,
829611430609302,2018-09-19,2018-09-30,2018-09-30,lecture 7 notes,CS 311,,,,,,,UMass,
829611430609300,2018-09-19,2018-09-26,2018-09-26,lecture 6 notes,CS 311,,,,,,,UMass,
829611430609298,2018-09-19,2018-09-26,2018-09-26,lecture 5 notes,CS 311,,,,,,,UMass,
829611430609296,2018-09-19,2018-09-23,2018-09-23,ch 1 notes,CS 311,,,,,,,UMass,
829611430609294,2018-09-19,2018-10-06,2018-10-06,ch 5 notes,Math 551,,,,2018-10-06,,,UMass,
829611430609292,2018-09-19,2018-10-06,2018-10-06,ch 4 notes,Math 551,,,,,,,UMass,
825810114433235,2018-09-17,2018-09-19,2018-09-19,fix up proofs on hw,Math 551,,,,,,,UMass,
825810114433233,2018-09-17,2018-09-20,2018-09-20,send email about interview,Research,,,,,,,UMass,
825810114433231,2018-09-17,2018-09-24,2018-09-24,notes on Colón,Spanish 322,,,,,,,UMass,
825810114433229,2018-09-17,2018-09-18,2018-09-18,send email about interview,Spanish 322,,,,,,,UMass,
824380537234525,2018-09-17,2018-09-21,2018-09-21,read papers on flight,Research,,,,2018-09-20,,,UMass,
823410111960581,2018-09-16,2018-09-16,2018-09-16,better ch 3 notes speed of converge etc,Math 551,,,,,,,UMass,
823159246152299,2018-09-14,2018-09-17,2018-09-17,quiz 2,CS 311,,,,2018-09-17,,,UMass,
821081392712617,2018-09-13,2018-09-22,2018-09-22,hw 1,CS 383,,,,2018-09-24,,,UMass,
819704192637475,2018-09-13,2018-09-14,2018-09-14,write update for meeting on friday,Research,,,,2018-09-14,,,UMass,
819704192637473,2018-09-12,2018-09-17,2018-09-17,notes lecture 4,CS 311,,,,,,,UMass,
819704192637471,2018-09-12,2018-09-14,2018-09-14,notes ch 3,Math 551,,,,,,,UMass,
818883813859660,2018-09-12,2018-09-17,2018-09-17,print essay,Spanish 322,,,,2018-09-17,,,UMass,
815278091061707,2018-09-10,2018-09-12,2018-09-12,first essay,Spanish 322,,,,2018-09-17,,,UMass,
815011378708803,2018-09-10,2018-09-10,2018-09-10,email about conference,Research,,,,2018-09-10,,,UMass,
814949454236059,2018-09-10,2018-09-16,2018-09-16,hw,Math 551,,,,2018-09-21,,,UMass,
812543703423773,2018-09-07,2018-09-14,2018-09-14,test spacenet on images,Research,,,,,,,UMass,
812543703423771,2018-09-07,2018-09-09,2018-09-09,quiz,CS 311,,,,2018-09-10,,,UMass,
760434937316582,2018-09-07,2018-09-10,2018-09-10,email about conference,Spanish 322,,,,2018-09-10,,,UMass,
811691004722559,2018-09-07,2018-09-07,2018-09-07,Gradescope consent in Moodle,CS 311,,,,,,,UMass,
811148000834387,2018-09-07,2018-09-20,2018-09-20,hw1,CS 311,,,,2018-09-20,,,UMass,
808898429159055,2018-09-05,2018-09-08,2018-09-08,read sections 3.1-3.4,CS 383,,,,,,,UMass,
808598823730069,2018-09-05,2018-09-08,2018-09-08,get packet from collective copies,Spanish 322,,,,,,,UMass,
808374523007901,2018-09-05,2018-09-07,2018-09-07,decide on a few options for focus,Research,,,,2018-09-07,,,UMass,
808374523007899,2018-09-05,2018-09-08,2018-09-08,read,Spanish 322,,,,,,,UMass,
808374523007897,2018-09-05,2018-09-12,2018-09-12,notes,Math 551,,,,,,,UMass,
806840445182763,2018-09-04,2018-09-12,2018-09-12,notes,CS 311,,,,,,,UMass,
806481925926055,2018-09-04,2018-09-07,2018-09-07,grant paper attached to email,Research,,,,2018-09-07,,,UMass,
806481925926053,2018-09-04,2018-09-07,2018-09-07,https://arxiv.org/pdf/1604.00187.pdf,Research,,,,2018-09-07,,,UMass,
806481925926051,2018-09-04,2018-09-07,2018-09-07,https://arxiv.org/pdf/1506.01497.pdf ,Research,,,,2018-09-07,,,UMass,
806481925926049,2018-09-04,2018-09-07,2018-09-07,https://www.cs.grinnell.edu/~weinman/research/maps.shtml,Research,,,,2018-09-07,,,UMass,
